,Symbol,Name,Rank,Price,Change24h,MarketCap,Volume24h,Supply,Category
0,BTC,Bitcoin,1,29558.98,-0.69%,574937000000.0,18547000000.0,19450000.0,"Cryptocurrencies, Layer 1"
1,ETH,Ethereum,2,1853.91,-0.15%,222663000000.0,5910000000.0,120104000.0,"Smart contract platforms, Layer 1"
2,USDT,Tether,3,1.00297500,-0.09%,83781000000.0,23114000000.0,83532000000.0,"Stablecoins, Asset-backed Stablecoins"
3,BNB,BNB,4,243.71500000,-0.61%,37496000000.0,398496000.0,153853000.0,"Smart contract platforms, Centralized exchange, Layer 1"
4,XRP,XRP,5,0.64046,-0.55%,33779000000.000004,1634000000.0,52741000000.0,"Cryptocurrencies, Enterprise solutions, Layer 1"
5,USDC,USD Coin,6,1.00004233,-0.19%,26242000000.0,3149000000.0,26241000000.0,"Stablecoins, Asset-backed Stablecoins"
6,ADA,Cardano,7,0.303339,0.65%,10626000000.0,249005000.0,35031000000.0,"Smart contract platforms, Layer 1"
7,DOGE,Dogecoin,8,0.0749565,-0.69%,10531000000.0,333683000.0,140494000000.0,"Memes, Cryptocurrencies, Layer 1"
8,SOL,Solana,9,24.3148,0.93%,9867000000.0,461688000.0,405784000.0,"Smart contract platforms, Layer 1"
9,TRX,TRON,10,0.07736208,0.53%,6925000000.0,191400000.0,89519000000.0,"Smart contract platforms, Payments, Layer 1"
10,MATIC,Polygon,11,0.689158,0.65%,6421000000.0,271120000.0,9317000000.0,Scaling
11,DOT,Polkadot,12,5.032375,-0.43%,6257000000.0,195296000.0,1243000000.0,"Smart contract platforms, Layer 1"
12,LTC,Litecoin,13,83.850648,-0.09%,6162000000.0,1085000000.0,73492000.0,"Cryptocurrencies, Layer 1"
13,SHIB,Shiba Inu,14,0.00000969,2.65%,5711000000.0,366186000.0,N/A,"Memes, Cryptocurrencies"
14,DAI,Dai,15,0.99979378,0.43%,5113000000.0,120520000.0,5114000000.0,"Stablecoins, Asset-backed Stablecoins, DeFi"
15,WBTC,Wrapped Bitcoin,16,29548.6141,-0.88%,4793000000.0,188280000.0,162205.0,"Wrapped Tokens, Cryptocurrencies"
16,BCH,Bitcoin Cash,17,238.24769,-0.80%,4640000000.0,580594000.0,19477000.0,"Cryptocurrencies, Layer 1"
17,TON,Toncoin,18,1.2511,-1.42%,N/A,26667000.0,N/A,Smart contract platforms
18,AVAX,Avalanche,19,12.58243545,-0.77%,4357000000.0,105234000.0,346260000.0,"Smart contract platforms, Layer 1"
19,LINK,Chainlink,20,7.7401537,4.02%,4167000000.0,626307000.0,538339000.0,"Oracles, Data management & AI, Web3"
20,XLM,Stellar,21,0.14103310,-1.35%,3860000000.0,131476000.0,27368000000.0,"Cryptocurrencies, Smart contract platforms, Layer 1"
21,LEO,UNUS SED LEO,22,3.9789,0.76%,3691000000.0,1948000.0,927542000.0,"Centralized exchange, Payments"
22,UNI,Uniswap,23,6.1969745,2.19%,4668000000.0,87705000.0,753331000.0,"Decentralized exchange, DeFi, DAO"
23,BUSD,Binance USD,24,1.00029875,-0.05%,3394000000.0,1307000000.0,3393000000.0,"Stablecoins, Asset-backed Stablecoins"
24,TUSD,TrueUSD,25,0.99958817,-0.08%,2994000000.0,2672000000.0,2996000000.0,"Stablecoins, Asset-backed Stablecoins"
25,ATOM,Cosmos,26,8.5126462,-0.24%,2951000000.0,73535000.0,346609000.0,"Smart contract platforms, Interoperability, Layer 1"
26,OKB,OKB,27,48.304,2.99%,2896000000.0,6690000.0,59945000.0,"Centralized exchange, Layer 1"
27,XMR,Monero,28,157.50185249,-0.89%,2885000000.0,78770000.0,18316000.0,"Privacy, Cryptocurrencies, Layer 1"
28,ETC,Ethereum Classic,29,18.024537,-0.09%,2567000000.0,129594000.0,142411000.0,"Smart contract platforms, Layer 1"
29,HBAR,Hedera,30,0.06010106,-2.16%,1957000000.0,113030000.0,32560000000.000004,"Smart contract platforms, Enterprise solutions, Layer 1"
30,FIL,Filecoin,31,4.1317298,-0.32%,1817000000.0,179342000.0,439836000.0,"Distributed computing & Storage, Web3"
31,ICP,Internet Computer,32,4.081,-0.90%,1800000000.0,18683000.0,440950000.0,"Smart contract platforms, Distributed computing & Storage, NFTs & Collectibles, Lending & Borrowing, Interoperability, Payments, DeFi, DAO, Layer 1"
32,APT,Aptos,33,7.31310302,9.11%,1608000000.0,625420000.0,219912000.0,"Smart contract platforms, Layer 1"
33,LDO,Lido DAO,34,1.86519573,0.42%,1638000000.0,70425000.0,878245000.0,"Derivatives, DeFi, DAO"
34,MNT,Mantle,35,0.46505860,-5.49%,1504000000.0,39659000.0,3234000000.0,N/A
35,ARB,Arbitrum,36,1.17483235,1.47%,1498000000.0,212855000.0,1275000000.0,"Scaling, Web3, DAO"
36,CRO,Cronos,37,0.05749267,-1.02%,1500000000.0,8042999.999999999,26096000000.0,"Smart contract platforms, Centralized exchange, Payments, Layer 1"
37,VET,VeChain,38,0.01773943,-2.31%,1290000000.0,26942000.0,72715000000.0,"Smart contract platforms, Internet of things, Logistics, Layer 1"
38,NEAR,NEAR Protocol,39,1.34545452,-1.10%,1267000000.0,41831000.0,941672000.0,"Smart contract platforms, Layer 1"
39,QNT,Quant,40,102.237118,-0.09%,1486000000.0,12812000.0,14532000.0,Interoperability
