,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
0,AAB,ABERDEEN INTERNATIONAL INC,0.030,0.00%,0.000,N/A,N/A,4346000.0,-51.25%,N/A,-0.11,N/A,Finance
1,AAG,AFTERMATH SILVER LTD,0.195,-7.14%,-0.015,124792.0,24334.0,36120000.0,7.86%,N/A,-0.06,N/A,Non-Energy Minerals
2,AALI,ADVANCE LITHIUM CORP,0.030,0.00%,0.000,99000.0,2970.0,2505000.0,85.06%,N/A,-0.05,N/A,Non-Energy Minerals
3,AAT,ATI AIRTEST TECHNOLOGIES INC,0.015,0.00%,0.000,60500.0,N/A,3340000.0,-41.43%,N/A,-0.00,N/A,Electronic Technology
4,AAU,ANGOLD RESOURCES LTD,0.065,-7.14%,-0.005,2000.0,N/A,875363.0,-92.24%,N/A,-0.10,N/A,Non-Energy Minerals
5,AAV,ADVANTAGE ENERGY LTD,9.43,0.86%,0.08,874084.0,8243000.0,1545000000.0,-23.73%,9.37,1.04,N/A,Energy Minerals
6,AAWH.U,"ASCEND WELLNESS HOLDINGS, INC.",0.650,0.00%,0.000,24000.0,15600.0,170051000.0,N/A,N/A,-0.52,2200.0,Process Industries
7,AAZ,AZINCOURT ENERGY CORP,0.035,0.00%,0.000,57000.0,1995.0,8294000.000000001,-51.35%,N/A,-0.04,N/A,Non-Energy Minerals
8,ABA,ABASCA RESOURCES INC,0.170,13.33%,0.020,2500.0,N/A,3456000.0,135.76%,N/A,-0.19,N/A,Non-Energy Minerals
9,ABCT,ABC TECHNOLOGIES HLDGS INC,5.80,-3.17%,-0.19,1300.0,7540.0,663912000.0,-14.27%,N/A,-0.71,N/A,Producer Manufacturing
10,ABI,ABCOURT MINES,0.040,-11.11%,-0.005,20000.0,N/A,15697000.0,-16.87%,N/A,-0.08,N/A,Non-Energy Minerals
11,ABM,ABEN MINERALS LTD,0.130,0.00%,0.000,3060.0,N/A,2434000.0,-47.11%,N/A,-0.05,N/A,Non-Energy Minerals
12,ABR,ARBOR METALS CORP,3.15,0.00%,0.00,271966.0,856693.0,188906000.0,32.24%,N/A,-0.02,N/A,Non-Energy Minerals
13,ABRA,ABRASILVER RESOURCE CORP,0.300,7.14%,0.020,476758.0,143027.0,157981000.0,-17.27%,N/A,-0.05,N/A,Non-Energy Minerals
14,ABRT,ALBERT LABS INTERNATIONAL CORP.,0.020,-20.00%,-0.005,3000.0,N/A,1860000.0,-53.92%,N/A,-0.05,N/A,Health Technology
15,ABX,BARRICK GOLD CORPORATION,22.11,0.41%,0.09,1596000.0,35295000.0,38645000000.0,2.64%,410.20,0.05,23000.0,Non-Energy Minerals
16,ABXX,ABAXX TECHNOLOGIES INC.,7.10,-1.39%,-0.10,2772.0,19681.0,176516000.0,N/A,N/A,-0.93,N/A,Non-Energy Minerals
17,AC,AIR CANADA,22.69,-1.60%,-0.37,1843000.0,41823000.0,8265000000.000001,28.13%,N/A,-2.02,N/A,Transportation
18,ACA,AXIOM CAPITAL ADVISORS INC.,0.110,0.00%,0.000,10000.0,1100.0,434528.0,-86.57%,44.00,0.00,N/A,Finance
19,ACB,AURORA CANNABIS INC,0.71,-5.33%,-0.04,504316.0,358064.0,265654000.0,-47.10%,N/A,-1.09,1130.0,Process Industries
20,ACD,ACCORD FINANCIAL CORP,6.50,0.00%,0.00,N/A,N/A,55633000.0,-26.14%,182.07,0.04,N/A,Finance
21,ACDX,AMERICAN COPPER DEVELOPMENT CORPORATION,0.195,0.00%,0.000,10000.0,1950.0,17518000.0,N/A,N/A,-0.06,N/A,Non-Energy Minerals
22,ACME,ACME LITHIUM INC.,0.220,-4.35%,-0.010,21400.0,4708.0,13598000.0,-72.00%,N/A,-0.06,N/A,Non-Energy Minerals
23,ACO.X,ATCO LTD,37.70,2.09%,0.77,269354.0,10155000.0,4195999999.9999995,-21.96%,10.78,3.50,7580.0,Utilities
24,ACOG,ALPHA COGNITION INC.,0.450,0.00%,0.000,6000.0,2700.0,32909000.0,43.32%,N/A,-0.21,N/A,Health Technology
25,ACOP,ATACAMA COPPER CORP,0.140,7.69%,0.010,3000.0,N/A,2645000.0,-23.38%,N/A,-0.06,N/A,Non-Energy Minerals
26,ACQ,AUTOCANADA INC,21.74,1.73%,0.37,71823.0,1561000.0,503288000.0,-31.58%,6.40,3.53,N/A,Retail Trade
