,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
0,1,CK HUTCHISON HOLDINGS LIMITED,43.20,-0.46%,-0.20,5365000.0,231785000.0,166224000000.0,-17.35%,5.75,7.52,300000.0,Retail Trade
1,10,HANG LUNG GROUP,11.40,0.18%,0.02,390000.0,4446000.0,15495000000.0,-17.66%,5.24,2.17,4239.0,Finance
2,1001,HONG KONG SHANGHAI ALLIANCE HOLDING,0.365,0.00%,0.000,13000.0,4745.0,233635000.0,-3.95%,2.82,0.13,N/A,Non-Energy Minerals
3,1003,HUANXI MEDIA GROUP LIMITED,1.00,0.00%,0.00,160000.0,160000.0,3656000000.0,-19.35%,N/A,,N/A,Consumer Services
4,1004,CHINA SMARTER ENERGY GP HLDGS LTD,0.026,4.00%,0.001,230000.0,5980.0,234359000.0,-39.02%,N/A,-0.01,N/A,Consumer Non-Durables
5,1007,LONGHUI INTL HLDGS LTD,0.82,2.50%,0.02,21000.0,17220.0,79609000.0,-9.16%,N/A,-0.88,N/A,Consumer Services
6,1008,LITU HOLDINGS LTD,0.154,-0.65%,-0.001,14000.0,2156.0,243022000.0,-44.64%,38.50,0.00,N/A,Process Industries
7,1009,INTERNATIONAL ENTERTAINMENT CORP.,0.90,0.00%,0.00,100000.0,90000.0,1232000000.0,373.68%,N/A,-0.09,N/A,Finance
8,101,HANG LUNG PROPERTIES (HLP),11.00,0.18%,0.02,4362000.0,47983000.0,49402000000.0,-19.38%,11.56,0.95,4148.0,Finance
9,1011,CHINA NT PHARMA GROUP CO LTD,0.060,7.14%,0.004,2816000.0,168960.0,132273000.0,-45.29%,N/A,-0.04,N/A,Health Technology
10,102,SUMMIT ASCENT HOLDINGS LIMITED,0.135,1.50%,0.002,988000.0,133380.0,599756000.0,-25.70%,51.92,0.00,996.0,Consumer Services
11,1020,CYBERNAUT INTL HLDGS CO LTD,0.095,1.06%,0.001,400000.0,38000.0,373692000.0,-19.66%,41.30,0.00,N/A,Retail Trade
12,1022,FEIYU TECHNOLOGY INTL CO LTD,0.335,-1.47%,-0.005,336000.0,112560.0,589650000.0,2.40%,N/A,-0.02,N/A,Technology Services
13,1023,SITOY GROUP HLDGS LTD,0.80,0.00%,0.00,305000.0,244000.0,770162000.0,95.12%,3.63,0.22,4500.0,Consumer Non-Durables
14,1024,KUAISHOU TECHNOLOGY,68.35,3.01%,2.00,17768000.0,1214000000.0,287643000000.0,-12.83%,N/A,-2.24,25445.0,Technology Services
15,1025,KNT HOLDINGS LTD,0.430,0.00%,0.000,392000.0,168560.0,362246000.0,-6.52%,N/A,-0.04,N/A,Consumer Non-Durables
16,1026,UNIVERSAL TECHNOLOGIES HLDGS,0.097,-2.02%,-0.002,20000.0,1940.0,544044000.0,-26.67%,N/A,-0.02,N/A,Utilities
17,1027,CHINA JICHENG HOLDINGS LTD,0.290,7.41%,0.020,N/A,N/A,119639000.0,-58.57%,N/A,-0.10,N/A,Consumer Non-Durables
18,1029,IRC LIMITED,0.089,-1.11%,-0.001,2017999.9999999998,179602.0,766769000.0,-36.47%,N/A,-0.10,1804.0,Non-Energy Minerals
19,103,SHOUGANG CENTURY HOLDINGS LTD,0.174,-0.57%,-0.001,154000.0,26796.0,344931000.0,-28.58%,10.12,0.02,2363.0,Producer Manufacturing
20,1030,SEAZEN GROUP LTD,1.48,0.00%,0.00,41847000.0,61934000.0,10418000000.0,-38.16%,15.58,0.10,25941.0,Finance
21,1034,FULLWEALTH INTNL GRP HLDG LTD,0.190,-0.52%,-0.001,512000.0,97280.0,305600000.0,-90.95%,4.23,0.04,N/A,Industrial Services
22,1037,MAXNERVA TECH SERVICE LTD,0.250,0.00%,0.000,10000.0,2500.0,175386000.0,-13.79%,5.52,0.05,N/A,Electronic Technology
23,1038,CK INFRASTRUCTURE HOLDINGS LIMITED,40.15,-0.50%,-0.20,550080.0,22086000.0,96378000000.0,-17.90%,N/A,3.01,2361.0,Utilities
24,104,ASIA COMMERCIAL HOLDINGS LTD,0.255,-1.92%,-0.005,20000.0,5100.0,194252000.0,0.00%,4.37,0.06,N/A,Retail Trade
25,1044,HENGAN INTERNATIONAL,30.55,0.83%,0.25,1157000.0,35337000.0,35212000000.0,-19.84%,15.65,1.95,23000.0,Consumer Non-Durables
26,1045,APT SATELLITE HLDG,2.37,1.72%,0.04,311000.0,737070.0,2164000000.0,9.91%,9.50,0.25,N/A,Communications
27,1046,UNIVERSE ENT & CULTURE GP CO LTD,0.320,16.36%,0.045,10000.0,3200.0,249324000.0,-55.65%,N/A,-0.09,N/A,Consumer Services
28,1049,CELESTIAL ASIA SECURITIES HLDGS LTD,1.40,-10.26%,-0.16,2001.0,2801.0,125923000.0,6.85%,N/A,-0.42,N/A,Retail Trade
29,1050,KARRIE INTERNATIONAL HLDGS,0.64,-1.54%,-0.01,372000.0,238080.0,1314000000.0,-53.57%,3.35,0.19,3600.0,Producer Manufacturing
30,1051,G-RESOURCES GP LTD,1.72,-1.15%,-0.02,11760.0,20227.0,784417000.0,-22.67%,N/A,-1.56,N/A,Finance
31,1052,YUEXIU TRANSPORT INFRASTRUCTURE LTD,4.12,-0.24%,-0.01,2049000.0,8441000.0,6910000000.0,-3.73%,10.44,0.39,2164.0,Transportation
32,106,LANDSEA GREEN MANAGEMENT LTD,0.094,-6.00%,-0.006,79400.0,7464.0,455808000.0,-42.20%,N/A,-0.65,1659.0,Finance
33,1060,ALIBABA PICTURES GROUP LIMITED,0.51,-3.77%,-0.02,91082000.0,46452000.0,14297000000.0,-15.87%,N/A,-0.01,1393.0,Consumer Services
34,1061,ESSEX BIO-TECHNOLOGY,3.26,1.88%,0.06,156000.0,508560.0,1826000000.0,-6.28%,8.52,0.39,1471.0,Health Technology
35,1062,CHINA DEVELOPMENT BK INTL INVT LTD,0.084,-1.18%,-0.001,320000.0,26880.0,246688000.0,-14.14%,N/A,-0.16,N/A,Finance
36,1063,SUNCORP TECHNOLOGIES,0.245,4.26%,0.010,331500.0,81218.0,361556000.0,-40.51%,N/A,-0.04,N/A,Electronic Technology
37,1066,SHANDONG WEIGAO GROUP MEDICAL,9.15,-0.11%,-0.01,7279000.0,66602000.00000001,41425000000.0,-3.58%,13.04,0.70,12122.0,Health Technology
38,1068,CHINA YURUN FOOD GROUP LTD,0.280,0.00%,0.000,361000.0,101080.0,510372000.0,-47.17%,N/A,-0.01,1400.0,Distribution Services
39,1069,CHINA BOZZA DEV HLDGS LTD,2.06,4.57%,0.09,43895000.0,90425000.0,1411000000.0,1179.91%,N/A,,N/A,Non-Energy Minerals
40,1070,TCL ELECTRONICS HOLDINGS LTD,3.83,0.52%,0.02,584000.0,2237000.0,9554000000.0,2.91%,21.48,0.18,24694.0,Consumer Durables
41,1073,DA YU FINANCIAL HOLDINGS LTD,0.172,-1.71%,-0.003,195000.0,33540.0,199383000.0,-2.78%,36.60,0.00,N/A,Finance
42,1075,CAPINFO CO LTD-H,0.335,-5.63%,-0.020,2478000.0,830130.0,1028999999.9999999,10.94%,6.59,0.05,1816.0,Technology Services
43,1079,PINE TECHNOLOGY HLDGS,0.035,6.06%,0.002,1522000.0,53270.0,43781000.0,-45.90%,N/A,-0.06,N/A,Electronic Technology
44,108,GR LIFE STYLE COMPANY LTD,0.94,4.44%,0.04,2212000.0,2079000.0000000002,2879000000.0,-18.18%,N/A,-0.10,N/A,Finance
45,1080,SHENGLI OIL & GAS PIPE HLDGS LTD,0.095,43.94%,0.029,9972000.0,947340.0,255708000.0,-45.45%,N/A,-0.01,N/A,Non-Energy Minerals
46,1083,TOWNGAS SMART ENERGY COMPANY LTD,3.63,-1.09%,-0.04,550018.0,1997000.0,12311000000.0,4.94%,26.73,0.31,23663.0,Utilities
47,1084,GREEN FUTURE FOOD HYDROCOLLOID MARI,0.95,-1.04%,-0.01,30000.0,28500.0,784750000.0,-69.45%,3.39,0.28,1234.0,Consumer Non-Durables
48,1085,HENGXIN TECHNOLOGY LTD,2.93,7.72%,0.21,832000.0,2438000.0,1054999999.9999999,-32.67%,15.37,0.19,N/A,Producer Manufacturing
49,1086,GOODBABY INTL HLDGS LTD,0.57,0.00%,0.00,1180000.0,672600.0,950778000.0,-25.00%,28.36,0.02,7357.0,Consumer Durables
50,1093,CSPC PHARMACEUTICAL GROUP LIMITED,5.88,1.91%,0.11,69546000.0,408931000.0,68571000000.0,-32.45%,9.89,0.59,24837.0,Health Technology
51,1094,CHERISH SUNSHINE INTERNATIONAL LTD,0.98,3.16%,0.03,24000.0,23520.0,469073000.0,75.88%,23.28,0.04,N/A,Technology Services
52,1097,I-CABLE COMMUNICATIONS,0.047,0.00%,0.000,1234000.0,57980.0,335327000.0,4.44%,N/A,-0.12,1175.0,Consumer Services
53,1098,ROAD KING INFRASTRUCTURE,2.80,0.00%,0.00,331000.0,926800.0,2097999999.9999998,-38.33%,N/A,-0.66,4588.0,Finance
54,1099,SINOPHARM GROUP CO. LTD.,21.80,1.63%,0.35,7033000.0,153320000.0,66894999999.99999,20.64%,6.88,3.17,114766.0,Health Technology
55,11,HANG SENG BANK,106.6,0.09%,0.1,817096.0,87102000.0,203611000000.0,-17.12%,13.98,7.63,8708.0,Finance
56,1101,CHINA HUARONG ENERGY COMPANY LTD,0.046,2.22%,0.001,52000.0,2392.0,214672000.0,-36.62%,N/A,-0.17,N/A,Energy Minerals
57,1102,ENVIRO ENERGY INTL HLDGS LTD,0.061,-10.29%,-0.007,138500.0,8449.0,36883000.0,-24.44%,N/A,-0.47,N/A,Energy Minerals
58,1105,SING TAO NEWS CORPORATION LIMITED,0.420,-2.33%,-0.010,6000.0,2520.0,378634000.0,-4.44%,N/A,-0.16,1114.0,Consumer Services
59,1109,CHINA RESOURCES LAND,34.25,1.03%,0.35,6745000.0,231022000.0,241739000000.0,8.65%,7.53,4.55,55311.0,Finance
60,111,CINDA INTERNATIONAL HOLDINGS LTD.,0.320,0.00%,0.000,60000.0,19200.0,205186000.0,-15.79%,N/A,-0.03,N/A,Finance
61,1112,HEALTH & HAPPINESS (H&H) INTL HLDGS,10.30,0.98%,0.10,193000.0,1988000.0,6585000000.0,4.24%,9.13,1.13,3372.0,Consumer Non-Durables
62,1113,CK ASSET HOLDINGS LTD,43.20,0.00%,0.00,2643000.0,114178000.0,155203000000.0,-22.83%,8.15,5.30,55000.0,Finance
63,1114,BRILLIANCE CHINA AUTOMOTIVE HLDGS,3.79,0.00%,0.00,55977000.0,212153000.0,19122000000.0,-48.03%,2.36,1.60,1300.0,Consumer Durables
64,1115,TIBET WATER RESOURCES LTD,0.440,0.00%,0.000,102000.0,44880.0,1766000000.0,13.44%,N/A,-0.04,N/A,Consumer Non-Durables
65,1116,MAYER HLDGS LTD,0.172,0.58%,0.001,2570000.0,442040.0,369018000.0,-11.86%,N/A,-0.00,N/A,Non-Energy Minerals
66,1117,CHINA MODERN DAIRY HOLDINGS LTD,0.82,0.00%,0.00,4204000.0,3447000.0,6472000000.0,-22.64%,9.58,0.09,8455.0,Process Industries
67,1119,IDREAMSKY TECHNOLOGY HLDGS LTD,3.26,-1.21%,-0.04,6560000.0,21386000.0,5196000000.0,-23.78%,N/A,-2.03,1048.0,Technology Services
68,1120,ARTS OPTICAL INTERNATIONAL HLDGS,0.85,3.66%,0.03,150000.0,127500.0,316736000.0,9.33%,2.86,0.30,3500.0,Electronic Technology
69,1121,GOLDEN SOLAR NEW ENERGY TECHNOLOGY,6.66,1.52%,0.10,166000.0,1106000.0,11911000000.0,-48.23%,N/A,-0.11,N/A,Consumer Non-Durables
70,1122,QINGLING MOTORS CO,0.76,0.00%,0.00,756000.0,574560.0,1887000000.0,-36.67%,N/A,-0.01,2846.0,Consumer Durables
71,1126,DREAM INTERNATIONAL,3.60,-2.17%,-0.08,104000.0,374400.0,2491000000.0,55.93%,3.55,1.02,28924.0,Consumer Durables
72,1127,LION ROCK GROUP LTD,1.20,0.00%,0.00,12000.0,14400.0,888504000.0,30.43%,4.07,0.30,1683.0,Commercial Services
73,1128,WYNN MACAU LTD,8.19,1.61%,0.13,9520000.0,77970000.0,42222000000.0,64.44%,N/A,-1.41,11500.0,Consumer Services
