,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
0,A,"Agilent Technologies, Inc.",127.63,-0.56%,-0.72,1786000.0,227954000.0,37699000000.0,-1.52%,28.13,4.56,18100.0,Health Technology
1,AA,Alcoa Corporation,33.62,1.17%,0.39,4131999.9999999995,138919000.0,5999000000.0,-34.58%,N/A,-8.15,13100.0,Non-Energy Minerals
2,AAC,Ares Acquisition Corporation,10.65,0.19%,0.02,34305.0,365348.0,751935000.0,-39.23%,N/A,-0.09,N/A,Finance
3,AACT,Ares Acquisition Corporation II,10.19,-0.10%,-0.01,48516.0,494378.0,590383000.0,N/A,N/A,,N/A,Finance
4,AADI,"Aadi Bioscience, Inc.",5.44,-6.85%,-0.40,147882.0,804478.0,132937000.00000001,-51.81%,N/A,-2.64,N/A,Health Technology
5,AAL,"American Airlines Group, Inc.",15.76,-2.60%,-0.42,18694000.0,294624000.0,10297000000.0,11.27%,4.27,4.04,129699.99999999999,Transportation
6,AAMC,Altisource Asset Management Corp Com,37.70,-6.13%,-2.46,29361.0,1107000.0,66292000.0,63.14%,N/A,-8.24,N/A,Finance
7,AAME,Atlantic American Corporation,1.84,1.10%,0.02,5355.0,9853.0,37545000.0,-36.58%,N/A,-0.16,N/A,Finance
8,AAN,"Aarons Holdings Company, Inc.",13.59,-1.45%,-0.20,232806.0,3164000.0,419510000.0,-0.71%,N/A,-0.07,10060.0,Retail Trade
9,AAOI,"Applied Optoelectronics, Inc.",12.16,-0.25%,-0.03,2765000.0,33627000.0,390687000.0,670.26%,N/A,-2.41,2213.0,Electronic Technology
10,AAON,"AAON, Inc.",94.83,-1.62%,-1.56,222184.0,21070000.0,5159000000.0,65.13%,35.04,2.77,3666.0,Producer Manufacturing
11,AAP,Advance Auto Parts Inc.,71.20,0.91%,0.64,1157000.0,82372000.0,4232000000.0,-63.93%,10.60,6.75,67000.0,Retail Trade
12,AAPL,Apple Inc.,178.19,-0.90%,-1.61,60303000.0,10745000000.0,N/A,6.06%,29.95,5.98,164000.0,Electronic Technology
13,AAU,"Almaden Minerals, Ltd.",0.1330,-8.28%,-0.0120,454786.0,60487.0,18250000.0,-39.17%,N/A,-0.06,N/A,Non-Energy Minerals
14,AB,AllianceBernstein Holding L.P.,29.40,-3.10%,-0.94,529008.0,15553000.0,3341000000.0,-18.27%,12.92,2.28,4436.0,Finance
15,ABBV,AbbVie Inc.,150.77,0.77%,1.15,3737000.0,563439000.0,266116000000.0,6.56%,30.96,4.89,50000.0,Health Technology
16,ABC,AmerisourceBergen Corporation,185.71,0.18%,0.34,3870000.0,718788000.0,37546000000.0,24.95%,22.64,8.30,44000.0,Distribution Services
17,ABCB,Ameris Bancorp,43.75,-1.91%,-0.85,234719.0,10269000.0,3035000000.0,-5.91%,10.18,4.31,2847.0,Finance
18,ABCL,AbCellera Biologics Inc.,6.02,2.21%,0.13,2583000.0,15552000.0,1742000000.0,-46.09%,N/A,-0.26,N/A,Health Technology
19,ABEO,Abeona Therapeutics Inc.,3.00,0.67%,0.02,49914.0,149742.0,66611999.99999999,181.52%,N/A,-3.00,N/A,Health Technology
20,ABG,Asbury Automotive Group Inc,223.21,1.65%,3.62,145489.0,32475000.0,4593000000.0,14.67%,5.20,43.13,13000.0,Retail Trade
21,ABIO,"ARCA biopharma, Inc.",2.03,0.50%,0.01,5133.0,10420.0,29253000.0,-16.87%,N/A,-0.44,N/A,Health Technology
22,ABL,"Abacus Life, Inc.",6.00,3.45%,0.20,6116.0,36696.0,380099000.0,-15.01%,N/A,-0.43,N/A,Finance
23,ABM,ABM Industries Incorporated,46.44,1.22%,0.56,258255.99999999997,11993000.0,3072000000.0,1.45%,15.85,2.95,127000.0,Commercial Services
24,ABNB,"Airbnb, Inc.",137.87,-1.20%,-1.68,3389000.0,467243000.0,88011000000.0,21.65%,40.40,3.61,6811.0,Consumer Services
25,ABOS,"Acumen Pharmaceuticals, Inc.",6.78,-3.14%,-0.22,531127.0,3601000.0,391879000.0,96.26%,N/A,-1.14,N/A,Health Technology
26,ABSI,Absci Corporation,1.73,-5.46%,-0.10,316989.0,548391.0,160031000.0,-53.25%,N/A,-1.08,N/A,Commercial Services
27,ABT,Abbott Laboratories,105.30,-0.27%,-0.28,5135000.0,540737000.0,182733000000.0,-3.05%,35.89,2.95,115000.0,Health Technology
28,ABUS,Arbutus Biopharma Corporation,2.03,0.00%,0.00,608415.0,1235000.0,340140000.0,-7.79%,N/A,-0.46,N/A,Health Technology
29,ABVC,"ABVC BioPharma, Inc.",2.38,-0.83%,-0.02,74565.0,177465.0,9064000.0,-52.45%,N/A,-3.78,N/A,Health Technology
30,AC,"Associated Capital Group, Inc.",36.60,-0.14%,-0.05,7246.0,265204.0,801058000.0,-11.14%,N/A,-0.68,N/A,Finance
31,ACA,"Arcosa, Inc.",77.02,0.98%,0.75,278350.0,21439000.0,3756000000.0,24.14%,13.25,5.84,5230.0,Producer Manufacturing
32,ACAB,Atlantic Coastal Acquisition Corp. II,10.48,0.19%,0.02,2061.0,21599.0,193206000.0,-48.50%,98.68,0.11,N/A,Finance
33,ACAD,ACADIA Pharmaceuticals Inc.,26.59,-0.49%,-0.13,1014000.0,26957000.0,4354000000.0,67.08%,N/A,-0.68,N/A,Health Technology
34,ACAQ,Athena Consumer Acquisition Corp.,11.21,1.91%,0.21,1609.0,18037.0,125092000.0,-62.00%,1099.02,0.01,N/A,Finance
35,ACBA,Ace Global Business Acquisition Limited,11.33,0.76%,0.09,N/A,3399.0,42936000.0,-32.06%,75.74,0.15,N/A,Finance
36,ACCD,"Accolade, Inc.",14.30,-2.52%,-0.37,430688.0,6159000.0,1082000000.0,41.90%,N/A,-2.17,2370.0,Technology Services
