,Symbol,Company,Price,Change%1D,Change1D,Volume1D,Volume*Price1D,MarketCap,MarketCapPerformance%1Y,PriceEarningRatio,EarningPerShare(TTM),Employees(FY),Sector
0,000001,PING AN BANK,12.17,0.58%,0.07,57761000.0,702949000.0,234812000000.0,-0.17%,5.22,2.33,43873.0,Finance
1,000002,CHINA VANKE CO,14.70,0.82%,0.12,54342000.0,798832000.0,162095000000.0,-10.51%,7.52,1.96,N/A,Finance
2,000004,SHENZHEN GUOHUA NE,20.68,3.14%,0.63,26451000.0,547010000.0,2654000000.0,109.65%,N/A,-4.41,N/A,Electronic Technology
3,000005,SHN FOUNTAIN CORP,1.43,3.62%,0.05,11223000.0,16047999.999999998,1461000000.0,-22.91%,N/A,-0.15,N/A,Industrial Services
4,000006,SHN ZHENYE GROUP,4.97,0.00%,0.00,18888000.0,93874000.0,6709000000.0,21.81%,18.48,0.27,N/A,Finance
5,000007,SHENZHEN QUANXINHA,5.06,-1.36%,-0.07,2866000.0,14500000.0,1777000000.0,-36.51%,N/A,-0.00,N/A,Consumer Services
6,000008,CHINA HIGH-SPEED R,2.41,-0.41%,-0.01,20922000.0,50422000.0,6627000000.0,2.53%,N/A,-0.30,3040.0,Transportation
7,000009,CHINA BAOAN GROUP,11.14,-0.09%,-0.01,8412000.0,93705000.0,28758000000.0,-30.01%,23.34,0.48,17193.0,Producer Manufacturing
8,000010,SHENZHEN ECOBEAUTY,2.77,-4.48%,-0.13,63177000.0,175000000.0,3070000000.0,-14.71%,N/A,-0.53,N/A,Non-Energy Minerals
9,000011,SHN PROPS &RES DEV,10.13,-0.88%,-0.09,3918000.0,39691000.0,5689000000.0,-0.96%,18.22,0.56,9330.0,Finance
10,000012,CSG HOLDING CO,6.09,-0.16%,-0.01,8618000.0,52485000.0,14647000000.0,-9.53%,9.12,0.67,14259.0,Consumer Durables
11,000014,SHAHE INDUSTRIAL C,13.79,-0.14%,-0.02,17144000.0,236413000.0,3343000000.0,73.27%,8.46,1.63,N/A,Finance
12,000016,KONKA GROUP,4.67,-0.85%,-0.04,7301000.0,34095000.0,8673000000.0,-13.60%,N/A,-0.59,14513.0,Consumer Durables
13,000017,SHENZHEN CHINA BIC,4.49,-2.18%,-0.10,3527000.0,15838000.0,2273000000.0,30.82%,N/A,-0.00,N/A,Consumer Durables
14,000019,SHENZHEN CEREALS H,7.91,-1.74%,-0.14,8912000.0,70495000.0,9035000000.0,5.86%,23.46,0.34,1236.0,Consumer Non-Durables
15,000020,S/Z ZHONGHENG HUAF,11.92,-1.41%,-0.17,2767000.0,32976999.999999996,2441000000.0,19.61%,317.02,0.04,N/A,Electronic Technology
16,000021,SHENZHEN KAIFA TEC,18.01,-4.20%,-0.79,41344000.0,744603000.0,29339000000.0,47.45%,54.28,0.33,17769.0,Electronic Technology
17,000023,SHN UNIVERSE GRP,6.46,0.16%,0.01,360000.0,2326000.0,894978000.0,-38.40%,N/A,-1.84,N/A,Non-Energy Minerals
18,000025,SHN TELLUS HLDNGS,16.90,-0.59%,-0.10,2122000.0,35862000.0,6815000000.0,-18.17%,97.18,0.17,N/A,Finance
19,000026,FIYTA PRECISION TE,11.58,-2.28%,-0.27,3584000.0,41499000.0,4562000000.0,18.38%,16.66,0.69,4321.0,Retail Trade
20,000027,SHN ENERGY GROUP,6.74,-1.32%,-0.09,12331000.0,83112000.0,32493000000.000004,11.60%,22.41,0.30,13392.0,Utilities
21,000028,CN ACCORD MEDICINE,33.80,-2.65%,-0.92,9178000.0,310207000.0,17797000000.0,51.83%,N/A,2.98,39296.0,Health Technology
22,000029,SHN SEZ REAL EST,11.54,-0.94%,-0.11,2746000.0,31693000.0,10677000000.0,21.17%,N/A,-0.04,N/A,Finance
23,000030,FAWER AUTOMOTIVE P,5.33,-2.38%,-0.13,8298000.0,44227000.0,8990000000.0,-5.77%,16.30,0.33,8087.999999999999,Producer Manufacturing
24,000031,GRANDJOY HOLDINGS,4.33,-0.92%,-0.04,15563000.0,67387000.0,18731000000.0,27.03%,N/A,-0.61,9730.0,Finance
25,000032,SHENZHEN SED INDUS,29.54,-2.54%,-0.77,17023000.0,502847000.0,34492000000.0,87.43%,N/A,-0.08,24171.0,Electronic Technology
